ORIGZONENO,DESTZONENO,INDEX,VOL,T0,T0TI,V0,V0TI,TCUR,TCURTI,VCUR,VCURTI,IMPEDANCE,LENGTH
1183,1338,1,44.03162200167585638,539.80058870526704595,,44.18745969952849606,,14479.20736305012542289,,1.64735652726856863,,1447920,6625.67132199881780252
1183,1339,1,49.19050951630816826,829.29902758597393131,,42.85046518493265211,,17084.13975779724205495,,2.08004907553232998,,1708413,9871.06919707535598718
1183,1340,1,40.70440146167015172,872.90868553366010474,,41.48426226787569959,,19593.05644979420685559,,1.84820438502668316,,1959305,10058.88134627360886952
1183,1341,1,22.23535642586111649,981.32700991292529125,,42.30002111092000661,,17968.35609745971669327,,2.31018090975508095,,1796834,11530.59812112020699715
1183,1342,1,34.88339486851678828,1278.28919970645392823,,40.96377730698500841,,22750.42707333313592244,,2.30165147853760921,,2275041,14545.43169741646306647
1183,1343,1,6.00838204341748572,2710.48901576831258353,,43.20447316810418670,,13372.59936201167693071,,8.75710449285356596,,1337266,32529.23609838977426989
1183,1344,1,15.39745158072061315,2247.65111900409692680,,43.97074988715915822,,14396.66811511677224189,,6.86484569881473128,,1439670,27453.02921870071077137
1183,1345,1,4.20734812911171918,2292.65111900409692680,,44.09397748624822810,,14441.66811511677224189,,7.00002977629506695,,1444170,28081.14078477457223926
1183,1346,1,13.28570290445948210,2446.58013308860427060,,43.57278475992571032,,15104.66577216677433171,,7.05770727700701084,,1510469,29612.30820471671177074
1183,1347,1,5.06316432485409607,2107.49432375953483643,,43.55698385863806266,,8498.02113814942822501,,10.80205553150169884,,849806,25498.91562282371887704
1183,1348,1,8.95239104969779653,2136.28854758624947863,,43.42497041614517883,,8578.26350779685890302,,10.81434102542603704,,857830,25768.96304980073182378
1183,1349,1,5.88652155388301779,2489.58013308860427060,,43.30339661310918586,,15309.16196296105408692,,7.04201027881745745,,1530919,29946.46552868138314807
1183,1350,1,22.76549146517334066,2538.57581733779488786,,44.49552978949795801,,16166.02659121619217331,,6.98720092200189846,,1616607,31376.46552868138314807
1183,1351,1,13.42173162789915430,2540.86153162350910861,,44.48383923976883381,,16184.49987696611788124,,6.98367430334465400,,1618454,31396.46552868138314807
1183,13124040,1,0.58335709837878680,1223.40904426031397634,,45.33502197279133128,,5544.74843863207843242,,10.00284801323395811,,554480,15406.46552868138314807
1183,13124041,1,1.65275565076509023,1219.64753813908896518,,44.88450490112828106,,5524.90095718062730157,,9.90846285345694788,,552495,15206.46552868138314807
1183,13124042,1,7.18118207708430489,1240.59987897068958773,,45.03610872509112539,,5669.05371124016801332,,9.85557623539190253,,566909,15519.94195379413031333
1183,13124043,1,5.04035443295287156,1226.03286866141115752,,44.97373383101410127,,5649.95103718688915251,,9.75924845017892828,,564999,15316.46552868138314807
1183,13124044,1,7.17465732697075875,1279.67565873482885763,,44.63574462276233135,,5880.73292549874986435,,9.71295187638684432,,588077,15866.46552868138314807
1183,13124045,1,7.41021833559841792,1280.68895061835860361,,44.83255985591128479,,5863.70083346971750871,,9.79186450094296035,,586374,15949.04556538938049925
1183,13124046,1,11.69858618442677489,1356.20281042682404404,,44.05482383895762410,,6144.82713871783289505,,9.72318253296214330,,614485,16596.46552868138314807
1183,13124047,1,0.09844130866055656,1235.72285159465923243,,45.26199044638166669,,5686.32528931908291270,,9.83610206196109971,,568638,15536.46552868138314807
1183,13124048,1,1.95144483465016827,1195.55267279956478887,,45.57831465146034589,,5579.90467272619116557,,9.76562846487304093,,557996,15136.46552868138314807
1183,13124049,1,9.43386372556623520,1335.99830221892830195,,43.88574132607329403,,6017.11164299497522734,,9.74408975301473212,,601715,16286.46552868138314807
1183,13124050,1,2.25915661036399928,1233.52784988638563846,,45.25521447382247686,,5608.09647470942309155,,9.95410254759105406,,560816,15506.54650167818908812
1183,13124051,1,3.90441047631076987,1258.78358231257175248,,45.03337722208774352,,5579.13662652182938473,,10.16058212910143688,,557919,15746.46552868138314807
1183,13124052,1,10.21258611931140869,1276.16025988145929659,,43.46468188300588764,,5579.24306831472949852,,9.94183244004753952,,557928,15407.74992430048405367
1183,13124053,1,5.95340707924863732,1042.36161393069460246,,44.98945018362024229,,4906.20133324833477673,,9.55836760824574583,,490625,13026.46552868138314807
1183,13124054,1,3.73455495865715381,1157.03944929271733599,,42.66628914510704362,,4883.97591725013171526,,10.10786714190306590,,488401,13712.93880439402528282
1183,13124055,1,5.05888085557772982,1184.74068449462947683,,43.89770328900193164,,5185.78036881525258650,,10.02884645001576658,,518581,14446.49862287619362178
1183,13124056,1,7.46382604276512041,1182.16925592320080796,,43.81099077748192627,,5187.18886931804354390,,9.98460007404416849,,518722,14386.66843574278391316
1183,13124057,1,16.16605332715139198,1322.94111630463316942,,43.30638279709719995,,5893.62607581412612490,,9.72097545105852845,,589367,15914.38733352987037506
1183,13124058,1,0.91821822760029792,1317.52905383736265321,,45.94910125657541755,,6113.26024747089195444,,9.90294432963140991,,611330,16816.46552868138314807
1183,13124059,1,1.43364990683052507,1349.74289667010816629,,46.18603739797222829,,6572.72173707112960983,,9.48454512407701245,,657278,17316.46552868138314807
1183,13124060,1,6.34126609830071075,1398.64570284325554894,,44.47345262401189814,,6163.78903909827295138,,10.09161783581698124,,616384,17278.50094532703951700
1183,13124061,1,5.26315536221491254,1399.08130631791368614,,44.35144378174762636,,6216.93920872948820033,,9.98100091056446992,,621699,17236.46552868138314807
1183,13124062,1,1.67610005145466023,1159.78032164424348593,,45.46616719893028602,,5290.38140389479121950,,9.96729006704238785,,529043,14647.43500497397690197
1183,13124063,1,8.96142162164755796,1402.58315795247995084,,44.32583098006190880,,7003.15358855086651602,,8.87752399098072864,,700318,17269.62888746752651059
1183,13124064,1,1.70018254000209179,1362.52812673424273271,,44.14094265151544505,,6969.29387146505814599,,8.62975173847991250,,696932,16706.46552868138314807
1183,13124065,1,6.72197956491361825,1347.79115133646791946,,46.46660266403430484,,7232.78294937638656847,,8.65880759060421212,,723283,17396.46552868138314807
1183,13124066,1,7.87780133825791484,1295.88710102533946156,,46.62845756216191972,,7050.44504050364866998,,8.57041170427967813,,705048,16784.78241542029718403
1183,13124067,1,7.90868946832712627,1258.83669533490092363,,44.81270703566283942,,5777.83007001988789852,,9.76350625583398291,,577787,15669.96667605135371559
